"","-40.0000","-30.0000","-20.0000","-10.0000","0.0000","10.0000","20.0000","30.0000","40.0000","50.0000","60.0000","70.0000","80.0000","90.0000","100.0000","110.0000",
"","-21.8750","-18.7500","-14.8438","-11.7188","-8.5938","-4.6875","-1.5625","1.5625","4.6875","3.1250","-3.9063","-3.9063","-3.9063","-3.9063","-3.9063","-3.9063",
"",
"Series","Name","Unit",
"Table","Airflow - Turbo - Boost - Compensation - Boost IAT Compensation","PERCENT",
"X Axis","Boost Control - Wastegate - IAT","CELSIUS",
