"","0.0000","0.1250","0.1875","0.2500","0.3125","0.3750","0.4375","0.5000","0.5625","0.6250","0.6875","0.7500","0.8125","0.8750","0.9375","0.9375","1.0000",
"","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.2031","0.3984","0.6016","0.7969","0.8281","1.0000",
"",
"Series","Name","Unit",
"Table","Ignition - Dynamic Advance - Adder - Adder Multiplier","NONE",
"X Axis","Timing - Dynamic Advance - DAM","NONE",
