"","0.0000","4096.0000","8192.0000","12288.0000","16384.0000","20480.0000","24576.0000","28672.0000",
"","-20.0000","-20.0000","-10.0000","0.0000","0.0000","0.0000","0.0000","0.0000",
"",
"Series","Name","Unit",
"Table","Ignition - Compensation - Tip-In - 3rd Gear","DEGREES",
"X Axis","Timing - Compensation - Tip-In - TPS Delta Raw","NONE",
