"","-32000.0000","-27000.0000","-21000.0000","-16000.0000","-11000.0000","-5000.0000","-3000.0000","-1000.0000","0.0000",
"","-0.2500","-0.2500","-0.1992","-0.1328","-0.1016","-0.0352","-0.0195","-0.0117","0.0000",
"",
"Series","Name","Unit",
"Table","Airflow - Turbo - PI Control - Integral Negative","PERCENT",
"X Axis","Boost Error","PASCAL",
