"","-27000.0000","-13000.0000","-5000.0000","-3000.0000","0.0000","3000.0000","5000.0000","11000.0000","21000.0000",
"","-7.5000","-2.0000","-0.5000","-0.2500","0.0000","0.2500","0.5000","1.5000","4.0000",
"",
"Series","Name","Unit",
"Table","Airflow - Turbo - PI Control - Proportional","PERCENT",
"X Axis","Boost Error","PASCAL",
