"","-40.0000","-30.0000","-20.0000","-10.0000","0.0000","10.0000","20.0000","30.0000","40.0000","50.0000","60.0000","70.0000","80.0000","90.0000","100.0000","110.0000",
"","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","-20.3125","-60.1563","-79.6875","-100.0000","-100.0000","-100.0000","-100.0000","-100.0000","-100.0000","-100.0000",
"",
"Series","Name","Unit",
"Table","AVCS - Exhaust - Exhaust Cam Retard Target Adder Activation","PERCENT",
"X Axis","Coolant Temperature","CELSIUS",
