"","-40.0000","-30.0000","-20.0000","-10.0000","0.0000","10.0000","20.0000","30.0000","40.0000","50.0000","60.0000","70.0000","80.0000","90.0000","100.0000","110.0000",
"","7047040.0000","7047040.0000","7047040.0000","7047040.0000","7047040.0000","7047040.0000","5491200.0000","5491200.0000","5033600.0000","4026880.0000","4026880.0000","4026880.0000","3020160.0000","3020160.0000","3020160.0000","3020160.0000",
"",
"Series","Name","Unit",
"Table","Fuel - Pressure - Fuel Pressure Target Idle","PASCAL",
"X Axis","Coolant Temperature","CELSIUS",
