"","1.0000","3.0000","5.0000","7.0000","9.0000","11.0000","13.0000","15.0000",
"","128.0000","110.0000","91.0000","73.0000","55.0000","37.0000","18.0000","0.0000",
"",
"Series","Name","Unit",
"Table","Fuel - Closed Loop - Target - Aggressive Start - Fuel Target Adder Activation","NONE",
"X Axis","None","NONE",
