"","300.1200","500.2000","999.7900","2000.1901","2999.9800","3999.7700","5999.9600","8000.1504","9999.7305","11999.9199","14000.1104","16000.3008","17999.8809","20000.0703","22000.2598","23999.8398",
"","34.0000","34.0000","34.0000","35.0000","35.0000","36.0000","40.0000","48.0000","59.0000","91.0000","138.0000","205.0000","275.0000","275.0000","275.0000","275.0000",
"",
"Series","Name","Unit",
"Table","Fuel - Injectors - Pulse - Injector Offset Table","NONE",
"X Axis","Fuel - Fuel Pressure","KPA",
