"","300.1194","500.1989","999.7879","2000.1858","2999.9736","3999.7615","5999.9473","8000.1328","9999.7090","11999.8945","14000.0801","16000.2656","17999.8418","20000.0273","22000.2129","23999.7891",
"","256.0000","198.0000","140.0000","99.0000","81.0000","70.0000","57.0000","50.0000","44.0000","40.0000","37.0000","35.0000","33.0000","31.0000","30.0000","29.0000",
"",
"Series","Name","Unit",
"Table","Fuel - Injectors - Pulse - Injector Mult Table Alt","NONE",
"X Axis","Fuel - Pressure - Fuel Pressure OBD","KPA",
