"","300.1200","500.2000","999.7900","2000.1901","2999.9800","3999.7700","5999.9600","8000.1504","9999.7305","11999.9199","14000.1104","16000.3008","17999.8809","20000.0703","22000.2598","23999.8398",
"","0.0000","12.0000","152.0000","388.0000","573.0000","714.0000","897.0000","1005.0000","1005.0000","1005.0000","1005.0000","1005.0000","1005.0000","1005.0000","1005.0000","1005.0000",
"",
"Series","Name","Unit",
"Table","Fuel - Injectors - Pulse - Injector Offset Table Alt","NONE",
"X Axis","Fuel - Fuel Pressure","KPA",
