"","93.9990","95.0000","96.0010","96.9995","98.0005","98.9990","100.0000","101.0010","101.9995",
"","30.0008","30.0008","37.9995","45.9998","54.0002","62.0005","70.0008","70.0008","70.0008",
"",
"Series","Name","Unit",
"Table","Engine - Radiator - Fan Speed Target A","PERCENT",
"X Axis","Sensors - Coolant Temperature","CELSIUS",
