"","-40.0000","-30.0000","-20.0000","-10.0000","0.0000","10.0000","20.0000","30.0000","40.0000","50.0000","60.0000","70.0000","80.0000","90.0000","100.0000","110.0000",
"","1800.0000","1800.0000","1800.0000","1800.0000","1800.0000","1800.0000","1800.0000","1800.0000","1800.0000","1450.0000","1450.0000","1450.0000","1450.0000","700.0000","700.0000","700.0000",
"",
"Series","Name","Unit",
"Table","Engine - Idle Speed - Idle Speed Target C","RPM",
"X Axis","Coolant Temperature","CELSIUS",
