"","1.0000","2.0000","3.0000","4.0000","5.0000","6.0000",
"","12800.0000","12800.0000","12800.0000","12800.0000","12800.0000","12800.0000",
"",
"Series","Name","Unit",
"Table","Fuel - CL/OL Transition - CL Limits (Switch to Open Loop) - Per Gear - Maximum RPM Per Gear","NONE",
"X Axis","None","NONE",
