"","800.0000","1200.0000","1600.0000","2000.0000","2400.0000","2800.0000","3200.0000","3600.0000","4000.0000","4400.0000","4800.0000","5200.0000","5600.0000","6000.0000","6400.0000","6800.0000","7200.0000","7600.0000","8000.0000",
"","0.2222","0.3434","0.8485","0.8889","0.9192","1.0000","1.0505","1.0404","1.0505","1.0303","1.0707","1.1010","1.0505","0.8182","0.6667","0.6566","0.6566","0.6566","0.6566",
"",
"Series","Name","Unit",
"Table","Airflow - Turbo - Boost - Boost Limit Base","BAR",
"X Axis","Boost Control - Wastegate - RPM","RPM",
