"","4.9808","4.4925","3.7503","3.3596","3.0862","2.8908","2.7346","2.5978","2.4806","2.3635","2.2658","2.1877","2.0900","2.0119","1.9239","1.8474","1.7730","1.6995","1.6262","1.5528","1.4781","1.4012","1.3192","1.2311","1.1363","1.0319","0.9131","0.7716","0.5855","0.2821","0.0000","0.0000",
"","-40.0000","-33.4405","-26.8810","-20.3214","-13.7619","-7.2024","-0.6429","5.9167","12.4762","19.0357","25.5952","32.1548","38.7143","45.2738","51.8333","58.3929","64.9524","71.5119","78.0714","84.6310","91.1905","97.7500","104.3095","110.8691","117.4286","123.9881","130.5476","137.1072","143.6667","150.2262","156.7857","163.3453",
"",
"Series","Name","Unit",
"Table","Sensors - Oil Temperature","CELSIUS",
"X Axis","Developer - Sensors - Voltage","VOLTS",
