"","4.9808","4.4925","3.7503","3.3596","3.0862","2.8908","2.7346","2.5978","2.4806","2.3635","2.2658","2.1877","2.0900","2.0119","1.9239","1.8474","1.7730","1.6995","1.6262","1.5528","1.4781","1.4012","1.3192","1.2311","1.1363","1.0319","0.9131","0.7716","0.5855","0.2821","0.0000","0.0000",
"","-40.0000","-34.8804","-29.7607","-24.6411","-19.5215","-14.4019","-9.2822","-4.1626","0.9570","6.0767","11.1963","16.3159","21.4355","26.5552","31.6748","36.7944","41.9141","47.0337","52.1533","57.2729","62.3926","67.5122","72.6318","77.7515","82.8711","87.9907","93.1104","98.2300","103.3496","108.4692","113.5889","118.7085",
"",
"Series","Name","Unit",
"Table","Sensors - Coolant Temperature","CELSIUS",
"X Axis","Developer - Sensors - Voltage","VOLTS",
