"","0.0000","0.0800","0.1600","0.2400","0.3200","0.4000","0.4800","0.5600","0.6400","0.7200","0.8000","0.8800","0.9600","1.0400","1.1200","1.2000","1.2600","1.3400","1.4200","1.5000","1.5800","1.6600","1.7400","1.8200","1.9000","1.9800","2.0600","2.1400","2.2200","2.3000","2.3800","2.4600","2.5400","2.6200","2.7000","2.7800","2.8600","2.9400","3.0200","3.1000","3.1800","3.2600","3.3400","3.4200","3.5000","3.5800","3.6600","3.7400","3.8000","3.8800","3.9600","4.0400","4.1200","4.2000","4.2800","4.3600","4.4400","4.5200","4.6000","4.6800","4.7600","4.8400","4.9200","5.0000",
"","1.4131","1.4131","1.4131","1.4131","1.4131","1.4131","1.4131","1.4579","1.6292","1.8771","2.2189","2.6727","3.1351","3.8182","4.6608","5.4819","6.6994","7.6140","8.7782","10.1452","11.5903","13.1130","14.8814","16.8168","18.7673","20.8595","23.2410","25.8230","28.6257","31.6602","34.8369","38.2215","43.6494","45.8759","50.0475","54.0636","58.3652","63.3791","68.6841","74.1971","79.3170","85.4076","91.8190","99.5090","107.6694","117.4021","125.4940","133.8300","142.5458","151.6714","161.2375","171.2887","181.8583","193.0027","204.7839","217.2755","230.5667","244.7392","259.9026","276.1706","293.6912","312.6063","333.0854","355.3214",
"",
"Series","Name","Unit",
"Table","Sensors - Mass Airflow","G_PER_SEC",
"X Axis","Air Flow Voltage","VOLTS",
